char,minx,maxx,miny,maxy,text_id,page
o,349.36000000000007,354.9200000000001,662.6339999999999,672.6339999999999,3,0
r,354.9200000000001,358.25000000000006,662.6339999999999,672.6339999999999,3,0
e,358.25000000000006,363.81000000000006,662.6339999999999,672.6339999999999,3,0
 ,363.81000000000006,366.59000000000003,662.6339999999999,672.6339999999999,3,0
 ,69.25,72.03,650.6819999999999,660.6819999999999,4,0
t,72.03,74.81,650.6819999999999,660.6819999999999,4,0
e,74.81,80.37,650.6819999999999,660.6819999999999,4,0
x,80.37,85.37,650.6819999999999,660.6819999999999,4,0
t,85.37,88.15,650.6819999999999,660.6819999999999,4,0
.,88.15,90.93,650.6819999999999,660.6819999999999,4,0
 ,90.93,93.71000000000001,650.6819999999999,660.6819999999999,4,0
A,93.71000000000001,100.38000000000001,650.6819999999999,660.6819999999999,4,0
n,100.38,105.94,650.6819999999999,660.6819999999999,4,0
d,105.94,111.5,650.6819999999999,660.6819999999999,4,0
 ,111.5,114.28,650.6819999999999,660.6819999999999,4,0
m,114.28,122.61,650.6819999999999,660.6819999999999,4,0
o,122.61000000000001,128.17000000000002,650.6819999999999,660.6819999999999,4,0
r,128.17000000000002,131.50000000000003,650.6819999999999,660.6819999999999,4,0
e,131.5,137.06,650.6819999999999,660.6819999999999,4,0
 ,137.06,139.84,650.6819999999999,660.6819999999999,4,0
t,139.84,142.62,650.6819999999999,660.6819999999999,4,0
e,142.62,148.18,650.6819999999999,660.6819999999999,4,0
x,148.18,153.18,650.6819999999999,660.6819999999999,4,0
t,153.18,155.96,650.6819999999999,660.6819999999999,4,0
.,155.96,158.74,650.6819999999999,660.6819999999999,4,0
 ,158.74,161.52,650.6819999999999,660.6819999999999,4,0
A,161.52,168.19,650.6819999999999,660.6819999999999,4,0
n,168.19,173.75,650.6819999999999,660.6819999999999,4,0
d,173.75,179.31,650.6819999999999,660.6819999999999,4,0
 ,179.31,182.09,650.6819999999999,660.6819999999999,4,0
m,182.09000000000003,190.42000000000004,650.6819999999999,660.6819999999999,4,0
o,190.42000000000002,195.98000000000002,650.6819999999999,660.6819999999999,4,0
r,195.98000000000002,199.31000000000003,650.6819999999999,660.6819999999999,4,0
e,199.31000000000003,204.87000000000003,650.6819999999999,660.6819999999999,4,0
 ,204.87000000000003,207.65000000000003,650.6819999999999,660.6819999999999,4,0
t,207.65000000000003,210.43000000000004,650.6819999999999,660.6819999999999,4,0
e,210.43000000000004,215.99000000000004,650.6819999999999,660.6819999999999,4,0
x,215.99000000000004,220.99000000000004,650.6819999999999,660.6819999999999,4,0
t,220.99000000000004,223.77000000000004,650.6819999999999,660.6819999999999,4,0
.,223.77000000000004,226.55000000000004,650.6819999999999,660.6819999999999,4,0
 ,226.55000000000004,229.33000000000004,650.6819999999999,660.6819999999999,4,0
A,229.33000000000004,236.00000000000003,650.6819999999999,660.6819999999999,4,0
n,236.00000000000003,241.56000000000003,650.6819999999999,660.6819999999999,4,0
d,241.56000000000003,247.12000000000003,650.6819999999999,660.6819999999999,4,0
 ,247.12000000000003,249.90000000000003,650.6819999999999,660.6819999999999,4,0
m,249.90000000000003,258.23,650.6819999999999,660.6819999999999,4,0
o,258.23,263.79,650.6819999999999,660.6819999999999,4,0
r,263.7900000000001,267.12000000000006,650.6819999999999,660.6819999999999,4,0
e,267.12000000000006,272.68000000000006,650.6819999999999,660.6819999999999,4,0
 ,272.68000000000006,275.46000000000004,650.6819999999999,660.6819999999999,4,0
t,275.46000000000004,278.24,650.6819999999999,660.6819999999999,4,0
e,278.24000000000007,283.80000000000007,650.6819999999999,660.6819999999999,4,0
x,283.80000000000007,288.80000000000007,650.6819999999999,660.6819999999999,4,0
t,288.80000000000007,291.58000000000004,650.6819999999999,660.6819999999999,4,0
.,291.58000000000004,294.36,650.6819999999999,660.6819999999999,4,0
 ,294.36000000000007,297.14000000000004,650.6819999999999,660.6819999999999,4,0
 ,69.25,72.03,626.7779999999999,636.7779999999999,5,0
A,72.03,78.7,626.7779999999999,636.7779999999999,5,0
n,78.7,84.26,626.7779999999999,636.7779999999999,5,0
d,84.26,89.82000000000001,626.7779999999999,636.7779999999999,5,0
 ,89.82,92.6,626.7779999999999,636.7779999999999,5,0
m,92.6,100.92999999999999,626.7779999999999,636.7779999999999,5,0
o,100.93,106.49000000000001,626.7779999999999,636.7779999999999,5,0
r,106.49000000000001,109.82000000000001,626.7779999999999,636.7779999999999,5,0
e,109.82,115.38,626.7779999999999,636.7779999999999,5,0
 ,115.38,118.16,626.7779999999999,636.7779999999999,5,0
